"","lon","lat","pin"
"244",-77.5253275,37.5374136,"C0040823068"
"245",-77.4444253,37.5697246,"N0000866020"
"246",-77.49891,37.486053,"C0070444006"
"247",-77.5194385,37.538586,"C0040585001"
"248",-77.5105983,37.5200007,"C0050542008"
"249",-77.470097,37.5633929,"N0001586013"
"250",-77.4504315,37.5693032,"N0000857003"
"251",-77.4350918,37.5478328,"N0000021003"
"252",-77.4424051,37.4609874,"S0090310019"
"253",-77.4329355,37.5473022,"N0000023001"
"254",-77.4716176,37.5611585,"W0001291058"
"255",-77.443083,37.544597,"W0001210032"
"256",-77.4771829,37.5636445,"W0001369032"
"257",-77.4630423,37.5551863,"W0000952051"
"258",-77.4627946,37.5573402,"W0000911059"
"259",-77.4428304,37.5451144,"W0001210033"
"260",-77.464738,37.555852,"W0001006087"
"261",-77.4733381,37.5613218,"W0001290038"
"262",-77.4203742,37.5282569,"E0000442002"
"263",-77.4201548,37.5385605,"E0000327031"
"264",-77.4857647,37.5201973,"S0060347015"
"265",-77.466471,37.4898704,"N0001781019"
"266",-77.4730406,37.5655804,"N0001588001"
"267",-77.4694025,37.5503735,"W0000994002"
"268",-77.4745666,37.5605237,"W0001366016"
"269",-77.4385757,37.5393998,"W0000012009"
"270",-77.4157898,37.5342148,"E0000382019"
"271",-77.414311,37.529282,"E0000576021"
"272",-77.4197693,37.5384324,"E0000327025"
"273",-77.4962095,37.5173819,"C0050692028"
"274",-77.4379105,37.5475405,"N0000062007"
"275",-77.4198474,37.5352814,"E0000254014"
"276",-77.4207223,37.5344937,"E0000222007"
"277",-77.471814,37.558717,"E0000295036B"
"278",-77.4247566,37.5633095,"N0000650026B"
"279",-77.469641,37.549479,"W0000994029B"
"280",-77.469695,37.549498,"W0000994038B"
"281",-77.4180851,37.5347913,"E0000295045B"
"282",-77.4259784,37.5619763,"N0000454058B"
"283",-77.4262026,37.5613449,"N0000454023B"
"284",-77.4255619,37.5617658,"N0000454048B"
"285",-77.442454,37.547761,"N0000120049"
"286",-77.4575869,37.5514447,"W0000613027"
"287",-77.443083,37.544597,"W0001291062"
"288",-77.4791285,37.554288,"W0001411027"
"289",-77.4794342,37.5578656,"W0000732053"
"290",-77.507385,37.568862,"W0200193054"
"291",-77.4772575,37.564995,"W0001522037"
"292",-77.4652748,37.5525062,"W0000904042"
"293",-77.5089388,37.503839,"C0060821016"
"294",-77.4202846,37.5328384,"E0000297017"
"295",-77.4260623,37.5340833,"E0000131031"
"296",-77.4335059,37.5353309,"E0000083041"
"297",-77.4334764,37.5713783,"N0000892031"
"298",-77.4661278,37.5491268,"W0000898012"
"299",-77.45331,37.550515,"W0000468038"
"300",-77.4743425,37.5517702,"W0001160001"
"301",-77.518117,37.5733048,"W0200112013"
"302",-77.4448962,37.5673738,"N0000690044"
"303",-77.4430583,37.4616313,"S0090502022"
"304",-77.4180888,37.5702874,"N0000989011"
"305",-77.5177363,37.5746368,"W0200113001"
"306",-77.4247904,37.5590005,"N0000459001"
"307",-77.418884,37.57149,"N0001058006"
"308",-77.4743481,37.5606349,"W0001366014"
"309",-77.462633,37.489246,"C0090329022"
"310",-77.4109157,37.5312053,"E0000632023"
"311",-77.4204097,37.5360496,"E0000252027"
"312",-77.4171502,37.5336933,"E0000336011"
"313",-77.471814,37.558717,"E0000254023"
"314",-77.417114,37.532347,"E0000384018"
"315",-77.4100619,37.5269396,"E0000974026"
"316",-77.467373,37.548145,"W0000896005B"
"317",-77.4268022,37.5622381,"N0000454055B"
"318",-77.4182651,37.5347657,"E0000295043B"
"319",-77.4151172,37.5411859,"E0000515018B"
"320",-77.471814,37.558717,"E0000295040B"
"321",-77.425582,37.5616405,"N0000454049B"
"322",-77.467112,37.548052,"W0000896008B"
"323",-77.4697951,37.5490655,"W0000992005B"
"324",-77.4826663,37.5052164,"C0060286036"
"325",-77.4391248,37.5463755,"N0000061007"
"326",-77.438003,37.5486246,"N0000080009"
"327",-77.4201098,37.5709826,"N0000988011"
"328",-77.4263819,37.5795959,"N0001459001"
"329",-77.4183342,37.5683018,"N0000919013"
"330",-77.4269199,37.570641,"N0000904041"
"331",-77.4681581,37.5099447,"S0001874049"
"332",-77.5497165,37.5582996,"C0010126018"
"333",-77.5552622,37.554319,"C0010292004"
"334",-77.5823818,37.5564714,"C0010358003"
"335",-77.5558937,37.5511967,"C0010464020"
"336",-77.5527842,37.5560649,"C0010253014"
"337",-77.55608,37.548216,"C0010596002"
"338",-77.557907,37.5507046,"C0010508006"
"339",-77.5204016,37.5335845,"C0040826022"
"340",-77.486548,37.5562297,"W0001598032"
"341",-77.4398163,37.4620671,"S0090505002"
"342",-77.4749252,37.5017715,"C0060224030"
"343",-77.462148,37.569907,"N0001510001"
"344",-77.4527154,37.5528101,"N0000570003"
"345",-77.4532072,37.5511507,"W0000482027"
"346",-77.4573729,37.5473183,"W0000451008"
"347",-77.4497152,37.5486269,"W0000356001"
"348",-77.5202224,37.5263078,"C0050254016"
